t,velL,velR,pwmL,pwmR
7200,6,0,200,0
7210,5,0,200,0
7220,5,0,200,0
7230,5,0,200,0
7240,5,0,200,0
7250,5,0,200,0
7260,5,0,200,0
7270,6,0,200,0
7290,6,0,200,0
7300,6,0,200,0
7310,6,0,200,0
7320,6,0,200,0
7330,5,0,200,0
7340,5,0,200,0
7350,5,0,200,0
7360,4,0,200,0
7370,4,0,200,0
7380,4,0,200,0
7390,5,0,200,0
7400,5,0,200,0
7410,6,0,200,0
7420,5,0,200,0
7430,5,0,200,0
7440,5,0,200,0
7450,4,0,200,0
7460,4,0,200,0
7470,4,0,200,0
7480,5,0,200,0
7490,6,0,200,0
7510,6,0,200,0
7520,6,0,200,0
7530,6,0,200,0
7540,6,0,200,0
7550,6,0,200,0
7560,5,0,200,0
7580,6,0,200,0
7590,5,0,200,0
7600,5,0,200,0
7610,5,0,200,0
7620,4,0,200,0
7630,4,0,200,0
7640,4,0,200,0
7650,5,0,200,0
7660,4,0,200,0
7670,5,0,200,0
7680,4,0,200,0
7690,5,0,200,0
7700,6,0,200,0
7710,4,0,200,0
7720,4,0,200,0
7730,4,0,200,0
7740,5,0,200,0
7750,5,0,200,0
7760,4,0,200,0
7770,4,0,200,0
7790,5,0,200,0
7800,5,0,200,0
7810,6,0,200,0
7830,6,0,200,0
7840,6,0,200,0
7850,6,0,200,0
7860,5,0,200,0
7870,5,0,200,0
7880,4,0,200,0
7890,4,0,200,0
7900,5,0,200,0
7910,6,0,200,0
7920,5,0,200,0
7930,5,0,200,0
7940,6,0,200,0
7950,4,0,200,0
7960,4,0,200,0
7970,4,0,200,0
7980,5,0,200,0
7990,5,0,200,0
8000,5,0,200,0
8010,5,0,200,0
8020,5,0,200,0
8030,4,0,200,0
8040,5,0,200,0
8050,4,0,200,0
8060,4,0,200,0
8070,4,0,200,0
8080,5,0,200,0
8090,5,0,200,0
8100,5,0,200,0
8110,5,0,200,0
8120,6,0,200,0
8130,5,0,200,0
8140,5,0,200,0
8150,5,0,200,0
8160,4,0,200,0
8170,5,0,200,0
8180,5,0,200,0
8190,4,0,200,0
8200,5,0,200,0
8210,5,0,200,0
8220,5,0,200,0
8230,5,0,200,0
8240,6,0,200,0
8250,6,0,200,0
8260,5,0,200,0
8270,6,0,200,0
8280,6,0,200,0
8290,6,0,200,0
8300,6,0,200,0
8310,6,0,200,0
8320,5,0,200,0
8330,5,0,200,0
8340,5,0,200,0
8350,5,0,200,0
8360,5,0,200,0
8370,6,0,200,0
8390,5,0,200,0
8400,5,0,200,0
8410,6,0,200,0
8420,5,0,200,0
8430,5,0,200,0
8440,5,0,200,0
8450,5,0,200,0
8460,5,0,200,0
8470,5,0,200,0
8480,5,0,200,0
8490,5,0,200,0
8500,5,0,200,0
8510,5,0,200,0
8520,5,0,200,0
8530,5,0,200,0
8540,5,0,200,0
8550,4,0,200,0
8560,4,0,200,0
8570,5,0,200,0
8580,4,0,200,0
8590,5,0,200,0
8600,5,0,200,0
8610,6,0,200,0
8620,6,0,200,0
8630,6,0,200,0
8660,6,0,200,0
8670,5,0,200,0
8680,5,0,200,0
8690,6,0,200,0
8700,6,0,200,0
8710,5,0,200,0
8720,6,0,200,0
8730,6,0,200,0
8740,4,0,200,0
8750,4,0,200,0
8760,4,0,200,0
8770,4,0,200,0
8780,4,0,200,0
8790,4,0,200,0
8800,5,0,200,0
8810,5,0,200,0
8820,4,0,200,0
8830,4,0,200,0
8840,4,0,200,0
8850,5,0,200,0
8860,5,0,200,0
8870,4,0,200,0
8880,4,0,200,0
8890,4,0,200,0
8900,4,0,200,0
8910,5,0,200,0
8920,5,0,200,0
8930,5,0,200,0
8940,6,0,200,0
